,country,lat,lon,max temp,clouds,wind speed,humidity
267,PT,37.14,-8.45,60.8,0,19.46,38
268,CM,6.21,10.69,68.2,8,0.92,90
269,PH,7.99,117.06,82.15,8,2.82,100
270,BR,-5.2,-35.46,84.94,0,14.9,65
271,CA,48.0,-66.68,33.55,8,2.93,70
272,FO,62.23,-6.59,39.2,88,6.93,80
273,US,42.09,-70.71,53.6,90,25.28,100
274,ML,18.44,1.41,77.29,0,5.17,17
275,RU,50.6,97.53,7.4,0,4.94,68
276,IN,10.57,72.64,85.97,8,8.75,98
277,IS,63.44,-20.27,41.0,75,23.04,93
278,IL,31.67,34.57,69.8,0,8.05,52
279,MZ,-19.11,33.48,68.0,0,11.41,56
280,CL,-37.72,-72.23,66.2,75,3.27,59
281,PE,-11.1,-77.61,72.02,0,5.73,60
282,PG,-10.62,150.67,79.81,88,9.31,100
283,MY,2.29,111.83,77.0,75,0.92,100
284,RU,56.12,101.17,32.0,0,8.95,90
285,AU,-43.03,147.26,44.6,75,5.82,94
286,MX,18.62,-100.35,84.4,0,3.15,40
287,MX,20.05,-99.22,57.35,92,4.27,99
288,AR,-33.01,-68.8,82.4,20,4.7,37
289,AR,-40.81,-62.99,75.58,32,11.43,48
290,AU,-31.02,152.94,62.8,0,7.52,93
